"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-15","2.01",",,T","0.00",",,T","19.0",",,T","27",",,T","41",",,T","16",",,T","25",",,T","5.5",",,T","11.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-16","3.13",",,T","0.00",",,T","17.0",",,T","37",",,T","50",",,T","24",",,T","36",",,T","5.5",",,T","15.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-17","4.03",",,T","0.30",",,T","18.0",",,T","35",",,T","44",",,T","21",",,T","21",",,T","5.7",",,T","23.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-18","2.46",",,T","0.00",",,T","17.0",",,T","26",",,T","38",",,T","19",",,T","27",",,T","5.7",",,T","13.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-19","1.79",",,T","0.00",",,T","16.0",",,T","33",",,T","45",",,T","17",",,T","34",",,T","5.7",",,T","9.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-20","2.01",",,T","0.00",",,T","15.0",",,T","35",",,T","48",",,T","28",",,T","29",",,T","5.5",",,T","14.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-21","1.79",",,T","0.00",",,T","14.0",",,T","38",",,T","54",",,T","27",",,T","31",",,T","5.4",",,T","7.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-22","1.34",",,T","0.00",",,T","13.0",",,T","40",",,T","52",",,T","31",",,T","36",",,T","5.1",",,T","6.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-23","1.57",",,T","0.00",",,T","11.0",",,T","40",",,T","53",",,T","32",",,T","33",",,T","4.6",",,T","8.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-24","1.57",",,T","0.00",",,T","9.0",",,T","42",",,T","58",",,T","31",",,T","37",",,T","3.9",",,T","6.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-25","1.79",",,T","0.00",",,T","7.0",",,T","45",",,T","61",",,T","34",",,T","38",",,T","3.2",",,T","8.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-26","2.01",",,T","0.00",",,T","5.0",",,T","47",",,T","59",",,T","36",",,T","46",",,T","2.4",",,T","9.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-27","2.68",",,T","0.00",",,T","4.0",",,T","47",",,T","56",",,T","42",",,T","42",",,T","1.8",",,T","17.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-28","2.01",",,T","0.00",",,T","3.0",",,T","39",",,T","46",",,T","28",",,T","28",",,T","1.4",",,T","18.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-29","2.24",",,T","0.00",",,T","1.0",",,T","34",",,T","45",",,T","26",",,T","38",",,T","0.5",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-30","2.46",",,T","0.00",",,T","0.0",",,T","39",",,T","47",",,T","33",",,T","40",",,T","0.0",",,T","13.2",",,T"
